date,retail
1992-01-31,159177.0
1992-02-29,159189.0
1992-03-31,158647.0
1992-04-30,159921.0
1992-05-31,160471.0
1992-06-30,161205.0
1992-07-31,162855.0
1992-08-31,162412.0
1992-09-30,164361.0
1992-10-31,166063.0
1992-11-30,166124.0
1992-12-31,167691.0
1993-01-31,169500.0
1993-02-28,168840.0
1993-03-31,167682.0
1993-04-30,172102.0
1993-05-31,172960.0
1993-06-30,173018.0
1993-07-31,175822.0
1993-08-31,175233.0
1993-09-30,176608.0
1993-10-31,177588.0
1993-11-30,179758.0
1993-12-31,181077.0
1994-01-31,179615.0
1994-02-28,183101.0
1994-03-31,186721.0
1994-04-30,186423.0
1994-05-31,185616.0
1994-06-30,187800.0
1994-07-31,188062.0
1994-08-31,190771.0
1994-09-30,192585.0
1994-10-31,193914.0
1994-11-30,194425.0
1994-12-31,194939.0
1995-01-31,195908.0
1995-02-28,193068.0
1995-03-31,195179.0
1995-04-30,195310.0
1995-05-31,198060.0
1995-06-30,200383.0
1995-07-31,199110.0
1995-08-31,201078.0
1995-09-30,201337.0
1995-10-31,200597.0
1995-11-30,203545.0
1995-12-31,204032.0
1996-01-31,203793.0
1996-02-29,206875.0
1996-03-31,207650.0
1996-04-30,209294.0
1996-05-31,211157.0
1996-06-30,209474.0
1996-07-31,210827.0
1996-08-31,210846.0
1996-09-30,213233.0
1996-10-31,215526.0
1996-11-30,215167.0
1996-12-31,215690.0
1997-01-31,218124.0
1997-02-28,219587.0
1997-03-31,221189.0
1997-04-30,217925.0
1997-05-31,217771.0
1997-06-30,220233.0
1997-07-31,222985.0
1997-08-31,223120.0
1997-09-30,224509.0
1997-10-31,224300.0
1997-11-30,223718.0
1997-12-31,225236.0
1998-01-31,225954.0
1998-02-28,225746.0
1998-03-31,226889.0
1998-04-30,230409.0
1998-05-31,230995.0
1998-06-30,233207.0
1998-07-31,231551.0
1998-08-31,229792.0
1998-09-30,232308.0
1998-10-31,236174.0
1998-11-30,237592.0
1998-12-31,240140.0
1999-01-31,240269.0
1999-02-28,243346.0
1999-03-31,244687.0
1999-04-30,246628.0
1999-05-31,248367.0
1999-06-30,249329.0
1999-07-31,251263.0
1999-08-31,253844.0
1999-09-30,255029.0
1999-10-31,254816.0
1999-11-30,258133.0
1999-12-31,263311.0
2000-01-31,261545.0
2000-02-29,265686.0
2000-03-31,269019.0
2000-04-30,264067.0
2000-05-31,265992.0
2000-06-30,267750.0
2000-07-31,265683.0
2000-08-31,266885.0
2000-09-30,270523.0
2000-10-31,270339.0
2000-11-30,268850.0
2000-12-31,268338.0
2001-01-31,272881.0
2001-02-28,272627.0
2001-03-31,269820.0
2001-04-30,274410.0
2001-05-31,275769.0
2001-06-30,274474.0
2001-07-31,273098.0
